dataAvgSalary62k,Location,Headquarters,Size,Type_of_ownership,Industry,Sector,Revenue,Rating_range,Found_year_range
lower-than-avg,"Irving, TX","Irving, TX",1 to 50 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology,$1 to $5 million (USD),Rate[4.5-5.0],Founded 2010-2014
higher-than-avg,"New York, NY","New York, NY",501 to 1000 employees,Company - Private,Research & Development,Business Services,Unknown / Non-Applicable,Rate[4.0-4.4],Founded 2010-2014
lower-than-avg,"New York, NY","New York, NY",501 to 1000 employees,Company - Private,Research & Development,Business Services,Unknown / Non-Applicable,Rate[4.0-4.4],Founded 2010-2014
lower-than-avg,"Austin, TX","Austin, TX",1 to 50 employees,Company - Private,Health Care Services & Hospitals,Health Care,Less than $1 million (USD),Rate[4.0-4.4],Founded 2010-2014
higher-than-avg,"Sunnyvale, CA","North Chicago, IL",10000+ employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),Rate[3.5-3.9],Founded 2010-2014
higher-than-avg,"Boulder, CO","Boulder, CO",51 to 200 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology,$1 to $5 million (USD),Rate[3.5-3.9],Founded 2010-2014
higher-than-avg,"Sunnyvale, CA","North Chicago, IL",10000+ employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),Rate[3.5-3.9],Founded 2010-2014
higher-than-avg,"Venice, CA","Venice, CA",201 to 500 employees,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,Rate[3.5-3.9],Founded 2010-2014
lower-than-avg,"Venice, CA","Venice, CA",201 to 500 employees,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,Rate[3.5-3.9],Founded 2010-2014
higher-than-avg,"Dallas, TX","Dallas, TX",201 to 500 employees,Company - Private,Financial Transaction Processing,Finance,$50 to $100 million (USD),Rate[3.5-3.9],Founded 2010-2014
lower-than-avg,"New York, NY","New York, NY",51 to 200 employees,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,Rate[3.5-3.9],Founded 2010-2014
higher-than-avg,"Chicago, IL","San Francisco, CA",1001 to 5000 employees,Company - Private,Logistics & Supply Chain,Transportation & Logistics,$500 million to $1 billion (USD),Rate[3.5-3.9],Founded 2010-2014
higher-than-avg,"Chicago, IL","San Francisco, CA",1001 to 5000 employees,Company - Private,Logistics & Supply Chain,Transportation & Logistics,$500 million to $1 billion (USD),Rate[3.5-3.9],Founded 2010-2014
higher-than-avg,"San Francisco, CA","San Francisco, CA",1001 to 5000 employees,Company - Private,Logistics & Supply Chain,Transportation & Logistics,$500 million to $1 billion (USD),Rate[3.5-3.9],Founded 2010-2014
higher-than-avg,"New York, NY","New York, NY",10000+ employees,Hospital,Health Care Services & Hospitals,Health Care,$1 to $2 billion (USD),Rate[3.0-3.4],Founded 2010-2014
lower-than-avg,"New York, NY","New York, NY",10000+ employees,Hospital,Health Care Services & Hospitals,Health Care,$1 to $2 billion (USD),Rate[3.0-3.4],Founded 2010-2014
lower-than-avg,"New York, NY","New York, NY",10000+ employees,Hospital,Health Care Services & Hospitals,Health Care,$1 to $2 billion (USD),Rate[3.0-3.4],Founded 2010-2014
lower-than-avg,"Philadelphia, PA","Philadelphia, PA",1001 to 5000 employees,Company - Private,Express Delivery Services,Transportation & Logistics,Unknown / Non-Applicable,Rate[3.0-3.4],Founded 2010-2014
