Location = Location,Headquarters = Headquarters,Size,Type of ownership,Industry,Sector,Revenue,Easy Apply,Rating range,Found year range,Senior,Competitors,Compare to avg salary 62k
"Location = Los Angeles, CA","Headquarters = Culver City, CA",51 to 200 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology,-1,-1,Rate[4.0-4.4],Founded 2010-2014,IsNotSenior,-1,salary_higher_than_avg
"Location = West Conshohocken, PA","Headquarters = West Conshohocken, PA",51 to 200 employees,Company - Private,Health Care Services & Hospitals,Health Care,-1,-1,Rate[4.0-4.4],Founded 2010-2014,IsNotSenior,-1,salary_lower_than_avg
"Location = San Francisco, CA","Headquarters = San Francisco, CA",51 to 200 employees,Company - Private,Financial Transaction Processing,Finance,$1 to $5 million (USD),-1,Rate[4.0-4.4],Founded 2010-2014,IsNotSenior,-1,salary_higher_than_avg
"Location = San Antonio, TX","Headquarters = San Antonio, TX",501 to 1000 employees,Company - Private,Vehicle Dealers,Retail,-1,-1,Rate[4.0-4.4],Founded 2010-2014,IsNotSenior,-1,salary_lower_than_avg
"Location = Los Angeles, CA","Headquarters = Los Angeles, CA",1 to 50 employees,Company - Private,Internet,Information Technology,-1,-1,Rate[4.0-4.4],Founded 2010-2014,IsNotSenior,-1,salary_higher_than_avg
"Location = Los Angeles, CA","Headquarters = Los Angeles, CA",1 to 50 employees,Company - Private,Internet,Information Technology,-1,-1,Rate[4.0-4.4],Founded 2010-2014,IsSenior,-1,salary_lower_than_avg
"Location = New York, NY","Headquarters = Stamford, CT",1001 to 5000 employees,Company - Private,Investment Banking & Asset Management,Finance,-1,-1,Rate[3.5-3.9],Founded 2010-2014,IsNotSenior,-1,salary_lower_than_avg
"Location = Milpitas, CA","Headquarters = Milpitas, CA",501 to 1000 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology,$50 to $100 million (USD),-1,Rate[3.5-3.9],Founded 2010-2014,IsNotSenior,-1,salary_higher_than_avg
"Location = Milpitas, CA","Headquarters = Milpitas, CA",501 to 1000 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology,$50 to $100 million (USD),-1,Rate[3.5-3.9],Founded 2010-2014,IsNotSenior,-1,salary_higher_than_avg
"Location = San Francisco, CA","Headquarters = Mountain View, CA",51 to 200 employees,Company - Private,IT Services,Information Technology,-1,-1,Rate[3.5-3.9],Founded 2010-2014,IsNotSenior,-1,salary_higher_than_avg
"Location = Hampton, VA","Headquarters = Fort Monroe, VA",51 to 200 employees,Company - Private,Staffing & Outsourcing,Business Services,$5 to $10 million (USD),-1,Rate[3.5-3.9],Founded 2010-2014,IsNotSenior,-1,salary_lower_than_avg
"Location = San Francisco, CA","Headquarters = San Francisco, CA",51 to 200 employees,Company - Private,Health Care Services & Hospitals,Health Care,-1,-1,Rate[3.0-3.4],Founded 2010-2014,IsSenior,-1,salary_higher_than_avg
"Location = Indianapolis, IN","Headquarters = Wilmington, DE",5001 to 10000 employees,Company - Public,Financial Transaction Processing,Finance,$2 to $5 billion (USD),-1,Rate[3.0-3.4],Founded 2010-2014,IsNotSenior,-1,salary_lower_than_avg
"Location = Palo Alto, CA","Headquarters = Palo Alto, CA",1001 to 5000 employees,Company - Private,Consumer Electronics & Appliances Stores,Retail,-1,Easy Apply,Rate[3.0-3.4],Founded 2010-2014,IsSenior,"Amazon, Best Buy, Apple",salary_higher_than_avg
"Location = San Mateo, CA","Headquarters = San Mateo, CA",201 to 500 employees,Company - Private,Health Care Services & Hospitals,Health Care,-1,-1,Rate[2.5-2.9,Founded 2010-2014,IsSenior,Nurx,salary_higher_than_avg
"Location = Austin, TX","Headquarters = New York, NY",201 to 500 employees,Subsidiary or Business Segment,Advertising & Marketing,Business Services,-1,-1,Rate[2.5-2.9,Founded 2010-2014,IsNotSenior,-1,salary_lower_than_avg
"Location = Chicago, IL","Headquarters = Singapore, Singapore",1 to 50 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology,-1,-1,-1,Founded 2010-2014,IsNotSenior,-1,salary_higher_than_avg
"Location = Chicago, IL","Headquarters = Singapore, Singapore",1 to 50 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology,-1,-1,-1,Founded 2010-2014,IsNotSenior,-1,salary_higher_than_avg
